dep;jour;current_hosp;current_critical;total_returned_home;total_death;cumulative_hosp;cumulative_critical;cumulative_death;cumulative_returned_home;new_hosp;new_critical;new_death;new_returned_home;current_men_hosp;current_men_critical;total_men_returned_home;total_men_death;current_women_hosp;current_women_critical;total_women_returned_home;total_women_death
01;2020-03-19;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
01;2020-03-20;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
01;2020-03-21;4;0;1;0;4;0;0;0;4;0;0;0;1;0;1;0;3;0;0;0
01;2020-03-22;8;1;2;0;7;1;0;1;3;1;0;1;4;1;1;0;4;0;1;0
01;2020-03-23;17;3;7;0;20;2;0;6;13;1;0;5;12;3;5;0;5;0;2;0
01;2020-03-24;22;3;11;0;30;3;0;10;10;1;0;4;17;3;6;0;5;0;5;0
01;2020-03-25;29;6;15;0;41;5;0;15;11;2;0;5;20;5;9;0;9;1;6;0
01;2020-03-26;33;6;17;2;53;7;2;17;12;2;2;2;22;5;10;0;11;1;7;2
01;2020-03-27;49;9;17;2;68;10;2;17;15;3;0;0;33;8;10;0;16;1;7;2
01;2020-03-28;53;12;20;3;74;13;3;20;6;3;1;3;35;9;12;1;18;3;8;2
01;2020-03-29;55;13;23;6;82;14;6;23;8;1;3;3;35;10;14;4;18;3;9;2
01;2020-03-30;67;19;24;10;100;20;10;24;18;6;4;1;39;14;15;5;24;4;9;4
01;2020-03-31;72;16;33;10;119;20;11;34;19;0;1;10;41;11;20;6;30;4;12;4
01;2020-04-01;92;28;43;12;152;33;13;44;33;13;2;10;48;15;26;7;42;12;13;5
01;2020-04-02;105;33;62;14;185;40;15;63;33;7;2;19;60;21;36;8;42;11;22;6
01;2020-04-03;100;31;74;17;197;43;18;76;12;3;3;13;59;19;43;9;38;11;27;8
01;2020-04-04;109;32;83;22;220;51;23;85;23;8;5;9;63;22;49;13;43;9;30;9
01;2020-04-05;112;30;86;24;228;55;25;88;8;4;2;3;64;20;51;14;45;9;31;10
01;2020-04-06;115;30;92;25;238;57;26;94;10;2;1;6;65;20;53;15;47;9;35;10
01;2020-04-07;119;32;97;27;250;60;28;99;12;3;2;5;64;21;58;17;52;10;35;10
01;2020-04-08;124;34;105;31;267;67;32;108;17;7;4;9;67;21;62;19;54;12;39;12
01;2020-04-09;125;33;112;35;279;70;36;115;12;3;4;7;72;21;64;20;49;10;44;15
01;2020-04-10;128;28;119;40;294;72;41;123;15;2;5;8;73;19;68;24;52;7;46;16
01;2020-04-11;118;30;132;42;299;75;43;137;5;3;2;14;68;21;76;24;47;7;51;18
02;2020-03-19;43;15;33;19;37;8;10;15;37;8;10;15;23;7;16;13;20;8;17;6
02;2020-03-20;52;19;40;24;47;11;13;24;10;3;3;9;30;10;18;16;22;9;22;8
02;2020-03-21;61;20;49;25;77;15;14;33;30;4;1;9;31;9;20;17;30;11;29;8
02;2020-03-22;69;21;55;28;90;16;17;41;13;1;3;8;35;9;23;20;34;12;32;8
02;2020-03-23;91;23;62;30;117;17;19;46;27;1;2;5;48;12;26;21;42;11;36;9
02;2020-03-24;107;27;85;33;163;21;22;69;46;4;3;23;57;13;33;24;50;14;52;9
02;2020-03-25;115;32;92;34;178;26;23;77;15;5;1;8;62;18;38;25;53;14;54;9
02;2020-03-26;124;35;102;36;201;29;25;87;23;3;2;10;67;21;42;27;57;14;60;9
02;2020-03-27;132;35;90;37;217;32;26;92;16;3;1;5;71;20;38;28;61;15;52;9
02;2020-03-28;134;34;95;41;242;34;30;105;25;2;4;13;73;19;44;28;61;15;51;13
02;2020-03-29;136;34;96;42;247;34;31;106;5;0;1;1;73;19;44;28;62;15;52;14
02;2020-03-30;135;34;67;44;254;37;33;109;7;3;2;3;73;19;32;30;62;15;35;14
02;2020-03-31;144;37;108;51;312;43;40;150;58;6;7;41;79;21;43;35;63;16;64;15
02;2020-04-01;164;40;121;59;353;47;48;163;41;4;8;13;90;24;51;39;72;16;69;19
02;2020-04-02;186;38;148;67;409;48;56;190;56;1;8;27;104;21;61;44;81;17;86;22
02;2020-04-03;210;39;162;85;466;52;74;206;57;4;18;16;120;21;65;52;89;18;96;32
02;2020-04-04;223;40;180;94;508;56;84;225;42;4;10;19;123;24;74;55;99;16;104;38
02;2020-04-05;221;39;182;100;514;56;90;227;6;0;6;2;120;23;76;59;100;16;104;40
02;2020-04-06;223;36;187;106;526;56;96;234;12;0;6;7;119;23;80;61;103;13;105;44
02;2020-04-07;255;35;218;115;595;60;105;265;69;4;9;31;142;23;94;67;112;12;122;46
02;2020-04-08;260;39;230;119;617;64;109;277;22;4;4;12;143;26;97;69;116;13;131;48
02;2020-04-09;270;39;249;128;656;68;118;297;39;4;9;20;143;25;107;75;125;14;140;51
02;2020-04-10;280;44;263;136;689;75;126;311;33;7;8;14;144;27;114;78;134;17;147;56
02;2020-04-11;279;43;285;140;714;75;130;333;25;0;4;22;144;27;125;80;133;16;158;58
03;2020-03-19;0;0;7;0;3;1;0;6;3;1;0;6;0;0;2;0;0;0;5;0
03;2020-03-20;1;0;10;0;7;1;0;9;4;0;0;3;1;0;4;0;0;0;6;0
03;2020-03-21;5;0;10;0;12;1;0;10;5;0;0;1;3;0;4;0;2;0;6;0
03;2020-03-22;5;0;10;0;14;1;0;12;2;0;0;2;3;0;4;0;2;0;6;0
03;2020-03-23;9;0;16;1;26;2;1;16;12;1;1;4;2;0;6;0;7;0;10;1
03;2020-03-24;9;0;16;1;28;2;1;16;2;0;0;0;3;0;6;0;6;0;10;1
03;2020-03-25;12;0;20;1;34;4;1;20;6;2;0;4;3;0;8;0;9;0;12;1
03;2020-03-26;15;1;26;2;45;5;2;26;11;1;1;6;4;0;11;0;10;0;15;2
03;2020-03-27;18;2;27;4;51;7;4;27;6;2;2;1;5;0;11;2;12;1;16;2
03;2020-03-28;22;2;31;4;60;8;4;31;9;1;0;4;8;0;14;2;13;1;17;2
03;2020-03-29;23;5;32;4;63;11;4;32;3;3;0;1;8;1;15;2;14;3;17;2
03;2020-03-30;30;8;39;4;77;15;4;38;14;4;0;6;11;3;15;2;18;4;23;2
